model_id,org,downloads,likes,tags,created_at,card_chars
black-forest-labs/FLUX.2-small-decoder,black-forest-labs,216631,173,"diffusers,safetensors,text-to-image,image-editing,flux,diffusion-single-file,image-to-image,en,license:apache-2.0,region:us,deploy:sagemaker",2026-04-06 16:08:58+00:00,3719
city96/FLUX.1-schnell-gguf,city96,208851,350,"gguf,text-to-image,image-generation,flux,base_model:black-forest-labs/FLUX.1-schnell,base_model:quantized:black-forest-labs/FLUX.1-schnell,license:apache-2.0,region:us",2024-08-15 02:30:12+00:00,514
stablediffusionapi/revanimated,stablediffusionapi,205690,2,"diffusers,stablediffusionapi.com,stable-diffusion-api,text-to-image,ultra-realistic,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2023-05-10 14:34:08+00:00,2228
cagliostrolab/animagine-xl-3.1,cagliostrolab,195193,735,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,en,base_model:cagliostrolab/animagine-xl-3.0,base_model:finetune:cagliostrolab/animagine-xl-3.0,license:openrail++,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-03-13 09:40:48+00:00,18732
John6666/nova-furry-xl-il-v120-sdxl,John6666,187651,7,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,not-for-all-audiences,anime,hentai,furry,furry style,2D,2.5D,3D,feral,yiff,anthro,animals,detail,posing,e621/rule34 tags,merge,noobai,Illustrious XL v2.0,illustrious,en,base_model:Laxhar/noobai-XL-1.1,base_model:merge:Laxhar/noobai-XL-1.1,base_model:OnomaAIResearch/Illustrious-XL-v2.0,base_model:merge:OnomaAIResearch/Illustrious-XL-v2.0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-10-01 02:44:51+00:00,165
h94/IP-Adapter-FaceID,h94,179747,1882,"diffusers,text-to-image,stable-diffusion,en,arxiv:2308.06721,region:us",2023-12-20 03:15:30+00:00,11150
Lykon/DreamShaper,Lykon,166508,1018,"diffusers,stable-diffusion,stable-diffusion-diffusers,text-to-image,art,artistic,anime,en,doi:10.57967/hf/0453,license:other,diffusers:StableDiffusionPipeline,region:us",2023-01-12 09:14:06+00:00,440
stabilityai/stable-diffusion-3.5-medium,stabilityai,153232,1092,"diffusers,safetensors,text-to-image,stable-diffusion,en,arxiv:2403.03206,license:other,diffusers:StableDiffusion3Pipeline,region:us",2024-10-29 10:27:32+00:00,10968
stable-diffusion-v1-5/stable-diffusion-inpainting,stable-diffusion-v1-5,144338,119,"diffusers,stable-diffusion,stable-diffusion-diffusers,text-to-image,arxiv:2207.12598,arxiv:2112.10752,arxiv:2103.00020,arxiv:2205.11487,arxiv:1910.09700,license:creativeml-openrail-m,diffusers:StableDiffusionInpaintPipeline,region:us",2024-08-30 10:08:03+00:00,14938
duongve/NetaYume-Lumina-Image-2.0,duongve,139260,71,"diffusion-single-file,stable-diffusion,text-to-image,comfyui,base_model:Alpha-VLLM/Lumina-Image-2.0,base_model:finetune:Alpha-VLLM/Lumina-Image-2.0,license:apache-2.0,region:us",2025-08-06 09:08:01+00:00,2542
